0,1,2,3,4,5,6,7,8,9,10,11,12
0,-35679,-53306,-18053,142287,142288,107036,124662,1,1,1,1,31
0,-53304,-71357,-17626,160338,160339,124661,142714,1,1,1,1,31
0,-53306,-53305,-17627,160766,160767,125089,125090,1,1,1,1,31
0,-53306,-71359,-18054,177968,177969,142288,142289,1,1,1,1,31
0,-35683,-35682,-18055,160339,142713,124658,124659,1,1,1,1,31
0,-35252,-35251,1,178393,178394,142715,142716,1,1,1,1,31
0,-35680,-35679,1,160338,160339,124660,124661,1,1,1,1,31
0,-53308,-53307,-17625,160339,160340,125088,125089,1,1,1,1,31
0,-17628,-35680,2,160341,160342,142715,142716,1,1,1,1,31
0,-17628,-35681,1,160341,160342,142715,142716,1,1,1,1,31
0,-53732,-53731,-18052,177964,177965,142286,142287,1,1,1,1,31
0,-35252,-35251,2,178394,178395,142713,160339,1,1,1,1,31
0,-35678,-35677,2,160340,160341,142714,142715,1,1,1,1,31
0,-35254,-53307,-17625,142715,142716,125090,125091,1,1,1,1,31
0,-35254,-35253,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-35681,-53734,-18054,160340,160341,124661,124662,1,1,1,1,31
0,-35679,-53305,-17625,142715,142716,124661,124662,1,1,1,1,31
0,-35679,-53305,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-18052,-35678,2,160341,160342,142288,142289,1,1,1,1,31
0,-17626,-35679,1,160342,142716,124663,124664,1,1,1,1,31
0,-35251,-35250,1,125091,125092,107038,107039,1,1,1,1,31
0,-35679,-35678,-17625,124663,124664,107037,107038,1,1,1,1,31
0,-35681,-35680,-18052,160342,160343,124664,124665,1,1,1,1,31
0,-35678,-35677,2,124662,124663,106610,106611,1,1,1,1,31
0,-35684,-35682,-18054,142287,142288,106609,106610,1,1,1,1,31
0,-35679,-35678,-17626,124665,124666,107039,107040,1,1,1,1,31
0,-35681,-35680,-17625,107037,107038,88985,88986,1,1,1,1,31
0,-17626,-35679,2,124663,124664,89410,89411,1,1,1,1,31
0,-17626,-35679,-17625,124662,124663,107036,107037,1,1,1,1,31
0,-17627,-17626,2,142716,142717,125091,125092,1,1,1,1,31
0,-35679,-35678,-18051,124662,124663,107035,107036,1,1,1,1,31
0,-35681,-35680,-18054,124661,124662,107035,107036,1,1,1,1,31
0,-35678,-35677,2,106611,106612,88986,88987,1,1,1,1,31
0,-35680,-35679,2,124663,124664,106607,106608,1,1,1,1,31
0,-17628,-35681,1,124661,124662,107035,107036,1,1,1,1,31
0,-35679,-35678,2,124666,124667,88989,107041,1,1,1,1,31
0,-18055,-35681,1,106609,106610,88983,88984,1,1,1,1,31
0,-35679,-53732,-18052,88984,88985,53306,53307,1,1,1,1,31
0,-17627,-35253,-17626,89410,107037,71358,71359,1,1,1,1,31
0,-18056,-35682,-18055,107037,107038,88985,88986,1,1,1,1,31
0,-18054,-35682,-18053,124663,124664,88985,88986,1,1,1,1,31
0,-35252,-35251,-17625,107036,107037,71358,71359,1,1,1,1,31
0,-35679,-53307,-35677,124664,124665,71358,71359,1,1,1,1,31
0,-35256,-35255,-17626,89410,89411,53731,53732,1,1,1,1,31
0,-35679,-53305,-18052,107036,107037,71358,71359,1,1,1,1,31
0,-35252,-53306,-17625,107037,107038,71358,71359,1,1,1,1,31
